*************** 👨‍🌾 UNOFFICIAL SUSHISWAP FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://app.sushi.com/farms/
****************************************************************************

Mon Sep 13 2021 10:11:57 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 298 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.------------------------------------------------------------------------------------------------------.
|                                                Sushi                                                 |
|------------------------------------------------------------------------------------------------------|
|  #  |         Pair         | Total Staked | Total $ Staked  | Reward |   APR   |      My Stake       |
|-----|----------------------|--------------|-----------------|--------|---------|---------------------|
|   0 | [WETH]-[USDT] SLP    |       1.3069 | $212,485,400.00 | SUSHI  |  13.64% | 0.00 ($0.00), 0.00% |
|   1 | [USDC]-[WETH] SLP    |       2.2565 | $373,149,146.57 | SUSHI  |  11.39% | 0.00 ($0.00), 0.00% |
|   2 | [DAI]-[WETH] SLP     | 1455905.8535 | $221,389,729.73 | SUSHI  |   8.49% | 0.00 ($0.00), 0.00% |
|   3 | [sUSD]-[WETH] SLP    |   15251.1203 |   $2,602,109.33 | SUSHI  |  20.42% | 0.00 ($0.00), 0.00% |
|   4 | [COMP]-[WETH] SLP    |    9244.5743 |  $28,445,512.92 | SUSHI  |  11.95% | 0.00 ($0.00), 0.00% |
|   6 | [SNX]-[WETH] SLP     |   18018.8821 |   $9,225,459.73 | SUSHI  |  13.24% | 0.00 ($0.00), 0.00% |
|   7 | [UMA]-[WETH] SLP     |    8190.2926 |   $3,576,591.60 | SUSHI  |  22.28% | 0.00 ($0.00), 0.00% |
|   8 | [LINK]-[WETH] SLP    |  171809.9072 | $131,990,230.04 | SUSHI  |   4.02% | 0.00 ($0.00), 0.00% |
|   9 | [BAND]-[WETH] SLP    |    7130.9933 |   $3,451,563.52 | SUSHI  |   9.24% | 0.00 ($0.00), 0.00% |
|  11 | [YFI]-[WETH] SLP     |    5051.8239 | $178,455,955.23 | SUSHI  |   5.95% | 0.00 ($0.00), 0.00% |
