*************** 👨‍🌾 UNOFFICIAL SUSHISWAP FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://app.sushi.com/farms/
****************************************************************************

Thu Jan 27 2022 19:28:25 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 348 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.------------------------------------------------------------------------------------------------------.
|                                                Sushi                                                 |
|------------------------------------------------------------------------------------------------------|
|  #  |         Pair         | Total Staked | Total $ Staked  | Reward |   APR   |      My Stake       |
|-----|----------------------|--------------|-----------------|--------|---------|---------------------|
|   0 | [WETH]-[USDT] SLP    |       0.5224 |  $77,576,363.59 | SUSHI  |   5.23% | 0.00 ($0.00), 0.00% |
|   1 | [USDC]-[WETH] SLP    |       1.0274 | $155,262,973.65 | SUSHI  |   4.34% | 0.00 ($0.00), 0.00% |
|   2 | [DAI]-[WETH] SLP     |  325176.9751 |  $45,282,555.78 | SUSHI  |   1.06% | 0.00 ($0.00), 0.00% |
|   3 | [sUSD]-[WETH] SLP    |    3904.0167 |     $588,266.82 | SUSHI  |   1.35% | 0.00 ($0.00), 0.00% |
|   4 | [COMP]-[WETH] SLP    |    5480.5908 |   $8,628,539.55 | SUSHI  |   1.63% | 0.00 ($0.00), 0.00% |
|   6 | [SNX]-[WETH] SLP     |    4521.9609 |   $1,416,802.84 | SUSHI  |   2.14% | 0.00 ($0.00), 0.00% |
|   7 | [UMA]-[WETH] SLP     |    2652.6597 |     $780,587.09 | SUSHI  |   3.06% | 0.00 ($0.00), 0.00% |
|   8 | [LINK]-[WETH] SLP    |   16620.0268 |   $8,469,173.48 | SUSHI  |   2.32% | 0.00 ($0.00), 0.00% |
|   9 | [BAND]-[WETH] SLP    |    2886.1260 |     $769,670.04 | SUSHI  |   4.14% | 0.00 ($0.00), 0.00% |
|  11 | [YFI]-[WETH] SLP     |     647.9733 |  $17,701,279.92 | SUSHI  |   9.66% | 0.00 ($0.00), 0.00% |
