*************** 👨‍🌾 UNOFFICIAL BAMBOODEFI FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://www.bamboodefi.com
****************************************************************************

Thu Jan 27 2022 21:28:10 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 15 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.----------------------------------------------------------------------------------------------------.
|                                               Bamboo                                               |
|----------------------------------------------------------------------------------------------------|
| #  |         Pair         | Total Staked | Total $ Staked | Reward |   APR   |      My Stake       |
|----|----------------------|--------------|----------------|--------|---------|---------------------|
|  0 | [BAMBOO]-[USDT] BLP  |   20735.2011 |     $17,202.46 | BAMBOO | 126.27% | 0.00 ($0.00), 0.00% |
|  1 | [BAMBOO]-[DAI] BLP   |   19654.5564 |     $16,107.82 | BAMBOO | 134.85% | 0.00 ($0.00), 0.00% |
|  2 | [BAMBOO]-[BTCB] BLP  |     209.1702 |     $32,788.76 | BAMBOO | 165.61% | 0.00 ($0.00), 0.00% |
|  3 | [Cake]-[BAMBOO] BLP  |   11991.2927 |     $26,188.83 | BAMBOO | 207.35% | 0.00 ($0.00), 0.00% |
|  4 | [BAMBOO]-[BUSD] BLP  |   29154.1650 |     $24,374.47 | BAMBOO |  89.11% | 0.00 ($0.00), 0.00% |
|  5 | [WBNB]-[BUSD] BLP    |     485.5953 |     $18,876.14 | BAMBOO |  71.92% | 0.00 ($0.00), 0.00% |
|  6 | [DAI]-[USDT] BLP     |    8282.1213 |     $16,574.83 | BAMBOO |  24.57% | 0.00 ($0.00), 0.00% |
|  7 | [BAMBOO]-[WBNB] BLP  |    2512.7396 |     $40,609.51 | BAMBOO | 133.72% | 0.00 ($0.00), 0.00% |
|  8 | [BTCB]-[WBNB] BLP    |       3.0576 |     $22,430.40 | BAMBOO |  48.42% | 0.00 ($0.00), 0.00% |
|  9 | [Cake]-[WBNB] BLP    |     110.0247 |     $11,198.07 | BAMBOO |  96.98% | 0.00 ($0.00), 0.00% |
| 10 | [BAMBOO]-[CBK] BLP   |   49862.8797 |     $11,937.45 | BAMBOO |  34.12% | 0.00 ($0.00), 0.00% |
| 11 | [BAMBOO]-[TKP] BLP   |    8081.3690 |      $1,790.98 | BAMBOO | 151.60% | 0.00 ($0.00), 0.00% |
| 12 | [BAMBOO]-[VSION] BLP |       2.8068 |      $9,338.41 | BAMBOO |  43.61% | 0.00 ($0.00), 0.00% |
| 13 | [ETH]-[BTCB] BLP     |       2.4288 |     $45,613.70 | BAMBOO |  23.81% | 0.00 ($0.00), 0.00% |
| 14 | [BAMBOO]-[ETH] BLP   |     697.3915 |     $27,963.03 | BAMBOO | 194.19% | 0.00 ($0.00), 0.00% |
'----------------------------------------------------------------------------------------------------'
